Data Set 1:Time(s),NWAWB5,NWAWB4,NWAWB3,NSASB4,NWASB3,NWASB2,ASAWB1,NSASB3,NWAWB2,NWAWB1,AhSAWB1,NSASB1,NSASB2,AWASB1
26,3.431483746,3.883949757,3.95475316,4.836758614,4.153676033,3.616246223,2.10534,1.374443054,5.076457024,3.151276588,1.02,12.26130295,1.758677959,4.140720844
26.5,3.432832241,3.902830601,3.964867592,4.842827797,4.20087862,3.616920471,2.118691,1.379789829,5.098508835,3.151276588,1.02,12.26130295,1.768701077,4.148731232
27,3.436877966,3.90822506,3.977679729,4.856313705,4.254823685,3.619617939,2.126702,1.383131027,5.135930061,3.151276588,1.01,12.23791504,1.790753365,4.1614151
27.5,3.438901186,3.910922527,4.004652023,4.87519455,4.243360519,3.62973237,2.13805,1.390481472,5.173350811,3.151276588,0.99,12.26264,1.795431137,4.169425964
28,3.440923929,3.9156425,4.032973766,4.885983467,4.328998566,3.649287701,2.152737,1.400505066,5.201416969,3.151944876,1.03,12.28736496,1.799439907,4.181441307
28.5,3.444969654,3.925082922,4.052528858,4.918351173,4.365411758,3.665471315,2.152737,1.40585041,5.235496521,3.151944876,1.05,12.2887001,1.81815052,4.190787315
29,3.451038599,3.935872078,4.074781418,4.954763889,4.401150227,3.685700893,2.151402,1.411865234,5.273586273,3.151944876,1.09,12.31142139,1.830179214,4.20213604
29.5,3.459130526,3.942615271,4.088941574,4.989828587,4.435540199,3.70188427,2.129372,1.415874481,5.319025993,3.151944876,1.04,12.32344818,1.840871334,4.21214962
30,3.458456039,3.945312738,4.097707748,5.014778137,4.482068062,3.70930171,2.109346,1.419883251,5.361793041,3.151944876,1.08,12.33681297,1.842875481,4.219492435
30.5,3.46317625,3.954078674,4.112543106,5.043099403,4.52185297,3.722113848,2.081308,1.424561024,5.401218414,3.152612925,1.00,12.30540657,1.856239796,4.231508255
31,3.469919682,3.959473133,4.116589069,5.061980247,4.558940411,3.725485563,2.043925,1.428570747,5.437303066,3.152612925,1.08,12.31543064,1.86826849,4.233510971
31.5,3.472616911,3.973633766,4.12737751,5.080186844,4.577147007,3.734925985,1.984512,1.435921192,5.488089085,3.152612925,1.01,12.34616947,1.885642529,4.235513687
